Year	Month	TMax	TMin	PAR	Prec	CO2
1540-1979	1	4.680820585	-8.952193208	145.2622068	29.10108392	338.7516667
1540-1979	2	6.614418508	-7.297702391	177.4782378	27.45599733	338.7516667
1540-1979	3	10.5829369	-4.291035913	213.8395165	32.86581	338.7516667
1540-1979	4	14.82336759	-1.051232462	230.7311135	28.30953956	338.7516667
1540-1979	5	19.83651152	3.326128017	228.7732524	32.0451375	338.7516667
1540-1979	6	25.85125558	8.010814176	231.4126733	28.07936277	338.7516667
1540-1979	7	26.89369755	10.68334013	204.7635366	75.50573975	338.7516667
1540-1979	8	25.32841361	10.11400348	196.4561831	82.47811144	338.7516667
1540-1979	9	22.14508432	6.644186878	190.8880202	52.98063015	338.7516667
1540-1979	10	16.20424013	0.937418328	162.9829596	44.99522676	338.7516667
1540-1979	11	9.445162033	-4.495253392	136.0348671	31.54833824	338.7516667
1540-1979	12	4.539300562	-8.553629013	128.5652889	33.00814798	338.7516667
1980	1	4.990133061	-6.271334246	126.0216537	42.6335365	338.7516667
1980	2	7.129141442	-6.369594221	161.6901138	33.53800389	338.7516667
1980	3	7.842811342	-6.146409213	197.3863272	22.5472671	338.7516667
1980	4	12.68435199	-3.319208767	241.4518706	26.01814337	338.7516667
1980	5	17.1824299	1.345196591	228.1985987	36.48975307	338.7516667
1980	6	27.3755216	7.992958417	244.9934735	0	338.7516667
1980	7	29.95946781	10.3953201	236.1482286	7.9593606	338.7516667
1980	8	26.39698665	9.477639513	206.3188288	60.1126931	338.7516667
1980	9	23.02875337	6.589065597	194.8449068	45.6502535	338.7516667
1980	10	16.54952096	-0.941338814	169.0385502	19.5198324	338.7516667
1980	11	10.54434881	-5.356863247	140.4624918	25.81086588	338.7516667
1980	12	10.05678189	-5.276318058	137.3899546	0	338.7516667
1981	1	7.960174809	-7.909505629	144.5734042	2	340.1058333
1981	2	9.402898454	-7.526193211	178.7274741	4.639751	340.1058333
1981	3	7.860123906	-5.062654665	192.478922	77.58054916	340.1058333
1981	4	17.31458362	0.294646269	231.0296921	16.46256322	340.1058333
1981	5	18.31576111	2.564170298	211.6495349	55.7986351	340.1058333
1981	6	27.17315847	8.123423375	241.6488029	22.1648901	340.1058333
1981	7	26.91105761	10.49277915	205.7967318	64.1453685	340.1058333
1981	8	24.75929103	9.076602813	192.8728513	74.13812169	340.1058333
1981	9	21.5800214	6.82956933	188.2015376	37.60161202	340.1058333
1981	10	15.14358956	0.926388273	163.7956987	36.8306684	340.1058333
1981	11	12.24104686	-3.609020011	138.2545748	24.2432077	340.1058333
1981	12	7.472104958	-7.071850887	122.028651	0.003013439	340.1058333
1982	1	3.826319719	-9.485452306	141.2902427	50.1793003	341.4475
1982	2	5.319905475	-9.553161939	184.4159308	50.40316075	341.4475
1982	3	8.929366977	-4.44700346	209.007853	52.7171965	341.4475
1982	4	14.02019944	-1.298231804	253.9973487	1.938844	341.4475
1982	5	18.13772574	1.599171005	229.3930511	37.89675835	341.4475
1982	6	24.95122743	6.07533929	243.0356223	4.0940895	341.4475
1982	7	27.39562558	9.983635768	214.9560539	56.3205893	341.4475
1982	8	25.14412929	10.21082935	196.6620699	100.7192945	341.4475
1982	9	20.778275	6.578078306	179.1198903	70.0327692	341.4475
1982	10	15.11611238	-1.415639738	174.4767351	25.013103	341.4475
1982	11	7.499782214	-4.41021803	114.6320563	41.39437373	341.4475
1982	12	3.198114249	-9.366112913	125.9756803	57.21416898	341.4475
1983	1	5.444550854	-9.166471197	143.527689	32.9500137	343.0541667
1983	2	5.710929607	-7.714352411	182.5690052	33.5338643	343.0541667
1983	3	7.890455632	-4.54570934	195.581793	61.57066467	343.0541667
1983	4	10.71634408	-4.48280667	264.8322669	18.69667066	343.0541667
1983	5	18.14016181	0.555778626	255.2566236	13.1653915	343.0541667
1983	6	24.15602433	5.671247843	232.1355348	16.2542021	343.0541667
1983	7	27.2035979	9.450001268	218.6958334	69.7627547	343.0541667
1983	8	26.15109139	10.38352787	200.1331305	76.53415497	343.0541667
1983	9	24.41364987	7.09476151	192.8993261	46.0701164	343.0541667
1983	10	16.82256019	0.829177356	164.9740006	45.16299762	343.0541667
1983	11	9.345376351	-5.298052006	132.0086747	35.6021361	343.0541667
1983	12	3.820088922	-8.16506659	124.157777	38.84601013	343.0541667
1984	1	4.494735123	-12.02398425	155.4334759	15.212926	344.65
1984	2	7.166269264	-9.34652745	184.6538124	3.6923602	344.65
1984	3	9.820425706	-6.084240819	215.1763611	54.262147	344.65
1984	4	13.05838325	-3.687505103	252.2739032	20.9723076	344.65
1984	5	22.78465352	3.998956989	250.5919709	5.3373694	344.65
1984	6	24.58095127	6.533209303	220.3171151	33.65248066	344.65
1984	7	27.60638258	9.957333129	213.0254273	67.2590015	344.65
1984	8	25.13154729	9.399163477	192.8534934	92.042089	344.65
1984	9	22.91212857	6.325285909	195.1829937	31.7474658	344.65
1984	10	11.38342522	-1.307357636	143.4274809	114.6459549	344.65
1984	11	9.972816418	-4.685182641	140.2874951	16.3634677	344.65
1984	12	4.751520931	-7.504470432	120.5903053	90.5111988	344.65
1985	1	3.226612634	-10.83681758	143.3181461	28.35895415	346.1166667
1985	2	4.969713687	-10.50429306	186.3228004	27.41316291	346.1166667
1985	3	9.281144843	-4.23212434	199.0091709	84.935727	346.1166667
1985	4	15.85312677	-0.83951619	224.5752164	89.4895788	346.1166667
1985	5	19.07253297	3.145723285	215.4325983	41.48426791	346.1166667
1985	6	25.54924557	6.781683587	226.1720712	42.5116701	346.1166667
1985	7	26.64894403	9.280340187	198.6982676	83.6304268	346.1166667
1985	8	26.37961148	9.020206529	218.1893435	35.97523853	346.1166667
1985	9	20.37076815	4.145471992	184.8693399	72.43538252	346.1166667
1985	10	15.60709335	0.531750367	156.278904	89.4955324	346.1166667
1985	11	8.80373428	-4.412586797	132.5312975	38.3079933	346.1166667
1985	12	6.453773879	-9.283489765	145.1126282	12.26756932	346.1166667
1986	1	9.79403411	-7.092540952	151.3198089	2.6605413	347.4208333
1986	2	7.656980639	-5.872345071	163.7373716	45.96096875	347.4208333
1986	3	12.62536923	-3.643892179	215.6856007	28.5333666	347.4208333
1986	4	14.76341842	-0.55474548	207.9029259	54.8184025	347.4208333
1986	5	19.24817119	2.180903288	220.0056339	40.9655645	347.4208333
1986	6	23.32640597	6.941616313	201.8957717	137.2234048	347.4208333
1986	7	25.22091026	9.11581201	205.0370641	67.6881933	347.4208333
1986	8	26.53678542	8.978516603	193.4369027	79.42500033	347.4208333
1986	9	20.01986853	4.550123887	183.6920109	64.20236394	347.4208333
1986	10	14.2131436	-0.714008021	167.9657725	75.28855907	347.4208333
1986	11	8.014404467	-4.46564858	122.6631463	97.913081	347.4208333
1986	12	4.690192244	-8.655149981	128.8645159	31.1626642	347.4208333
1987	1	3.408332026	-10.63651485	146.4082987	52.0380663	349.1941667
1987	2	4.963388343	-7.884635675	167.7477266	66.2537649	349.1941667
1987	3	8.330660221	-6.7353872	231.65899	21.7643864	349.1941667
1987	4	15.42981175	-2.084020499	272.5954454	29.7987258	349.1941667
1987	5	17.49411397	2.366963084	208.2127917	71.0531978	349.1941667
1987	6	24.88567633	6.516458307	233.1463361	47.12586676	349.1941667
1987	7	26.95691294	8.909591174	223.2794622	7.490255	349.1941667
1987	8	24.10212032	8.536752371	192.0343268	97.82290817	349.1941667
1987	9	21.47140463	4.269105245	207.549678	13.4435789	349.1941667
1987	10	18.37550668	0.907269184	167.4280428	19.3501605	349.1941667
