Year	Month	TMax	TMin	PAR	Prec	CO2
1540-1979	1	2.474313631	-10.37569897	134.7380668	31.26513938	338.7516667
1540-1979	2	4.004706556	-8.92377613	167.273141	30.99217945	338.7516667
1540-1979	3	7.720166855	-5.854209591	211.1086498	35.7931704	338.7516667
1540-1979	4	11.79845757	-2.702321798	238.6422697	34.3743094	338.7516667
1540-1979	5	16.78489537	1.468461978	237.3477431	33.94103884	338.7516667
1540-1979	6	22.73494237	5.905990755	232.3021565	30.47234317	338.7516667
1540-1979	7	23.92125632	8.54104375	204.9171664	70.76145357	338.7516667
1540-1979	8	22.33921684	8.090271678	192.9171822	91.25114297	338.7516667
1540-1979	9	19.22798387	4.879081359	183.5827734	55.12162738	338.7516667
1540-1979	10	13.45642455	-0.410935528	153.0659795	43.21978652	338.7516667
1540-1979	11	6.908127999	-5.625117837	126.4451213	31.95723655	338.7516667
1540-1979	12	2.286921827	-9.825738374	119.1909875	31.87588326	338.7516667
1980	1	2.636266647	-8.938504968	124.4459597	45.8014708	338.7516667
1980	2	4.591895728	-9.558003382	164.5384437	38.7274954	338.7516667
1980	3	4.481150959	-9.311627065	208.1654733	26.8431933	338.7516667
1980	4	9.303698637	-5.932068638	247.3575165	45.512323	338.7516667
1980	5	13.81534886	-1.378885825	250.4211709	33.0716	338.7516667
1980	6	24.22937173	5.151458853	250.1760146	0	338.7516667
1980	7	26.87754358	7.141863052	233.7621201	8.9897041	338.7516667
1980	8	23.36635306	6.418781958	210.951718	33.6906512	338.7516667
1980	9	20.34676723	4.109269974	193.4108894	24.554361	338.7516667
1980	10	14.18676805	-3.238530204	162.4341218	33.012585	338.7516667
1980	11	8.344336149	-7.067495435	136.1054781	25.093195	338.7516667
1980	12	8.29828521	-6.628735358	128.0180796	6.8971629	338.7516667
1981	1	6.177076756	-9.160359713	136.7492888	0	340.1058333
1981	2	7.153055279	-9.440131314	165.556705	5.4978714	340.1058333
1981	3	5.059460265	-7.316886965	187.5046639	95.79431	340.1058333
1981	4	14.51112112	-2.406383347	253.3725761	9	340.1058333
1981	5	15.23451789	-0.144350426	215.773586	25.0240678	340.1058333
1981	6	24.0000381	5.11850972	240.9577236	29.084294	340.1058333
1981	7	23.88006577	7.480721452	215.3933746	35.0564011	340.1058333
1981	8	21.61443031	6.518281361	194.3615601	75.0042343	340.1058333
1981	9	18.7705755	4.528790353	178.2100118	55.01372345	340.1058333
1981	10	12.51174091	-1.324344446	154.6762665	38.3980783	340.1058333
1981	11	9.459823127	-4.170301412	121.1198567	28.043658	340.1058333
1981	12	4.638300861	-8.886758239	123.5263031	2.3758864	340.1058333
1982	1	0.853896529	-13.04814689	132.2615455	54.9453974	341.4475
1982	2	2.539940501	-12.45956678	171.8087741	66.072579	341.4475
1982	3	5.482769007	-6.545368485	197.2186036	47.47881813	341.4475
1982	4	10.74779514	-2.815553515	256.484727	6.5181193	341.4475
1982	5	14.7551474	-0.797896183	255.7440922	51.6643029	341.4475
1982	6	21.54705837	3.151164326	252.7248332	7.5602646	341.4475
1982	7	24.39707629	7.019075445	207.153741	115.863287	341.4475
1982	8	21.96575923	7.47165451	185.1805096	133.6879907	341.4475
1982	9	17.67843103	4.076538093	173.9127095	65.1200262	341.4475
1982	10	12.22424189	-2.839898759	163.1071649	16.3340567	341.4475
1982	11	4.89869632	-5.432296752	100.5996862	50.2804789	341.4475
1982	12	1.208572215	-11.91345022	125.012275	53.8261373	341.4475
1983	1	3.754592502	-11.32586339	132.8307183	34.9173231	343.0541667
1983	2	3.024210661	-10.20633018	173.7566	23.4783917	343.0541667
1983	3	4.79038827	-6.888896906	192.0579696	64.7204357	343.0541667
1983	4	7.266945828	-7.115673448	268.1070318	16.4855597	343.0541667
1983	5	14.74410926	-1.981286949	273.7967142	28.5302012	343.0541667
1983	6	20.73018413	2.768480312	253.2962574	18.8455882	343.0541667
1983	7	23.85236277	6.166582777	221.309494	52.02460234	343.0541667
1983	8	22.93319845	7.657321758	192.2727957	93.5603793	343.0541667
1983	9	21.26912553	4.663473652	184.9890708	55.6781455	343.0541667
1983	10	14.15559644	-1.232836973	154.9138745	44.5706737	343.0541667
1983	11	6.008269142	-7.239516729	118.1226207	41.9065282	343.0541667
1983	12	1.114020481	-10.09478306	107.967922	70.8415739	343.0541667
1984	1	2.469504221	-14.80103385	144.8294462	15.8669614	344.65
1984	2	3.684048287	-12.06316982	168.6194131	5.560727	344.65
1984	3	6.285725302	-7.976239073	205.784233	51.928774	344.65
1984	4	9.728482431	-5.807378792	260.7790907	16.13272346	344.65
1984	5	19.37561585	1.432247726	280.7620043	4.6649113	344.65
1984	6	21.08677763	3.536799364	231.2231732	38.3040247	344.65
1984	7	24.12959687	7.114028681	218.250092	59.68489443	344.65
1984	8	21.91994487	6.566126939	188.0038121	116.3014367	344.65
1984	9	20.16228943	3.804759436	190.3823363	13.9776226	344.65
1984	10	8.331599975	-3.395515998	134.5151254	126.3234259	344.65
1984	11	7.351290243	-6.209595647	145.2041829	13.9723561	344.65
1984	12	3.051812979	-9.0531624	114.5659424	88.67253306	344.65
1985	1	1.095057971	-13.30211722	129.1829338	29.3142848	346.1166667
1985	2	2.151845056	-12.83172624	169.9846321	25.8849752	346.1166667
1985	3	6.130663089	-6.254254455	185.9104999	96.2496713	346.1166667
1985	4	12.70461639	-2.834914871	236.4301268	99.9640833	346.1166667
1985	5	15.89822856	0.902913963	217.4572559	53.9314429	346.1166667
1985	6	22.49884153	4.189127375	226.2330507	51.829869	346.1166667
1985	7	23.51421361	6.625109258	198.0811563	45.7026508	346.1166667
1985	8	23.2943779	6.486852297	208.9176313	60.0890417	346.1166667
1985	9	17.39623718	2.041862769	171.2631755	79.99676222	346.1166667
1985	10	12.79901227	-1.282923072	144.3863433	90.536367	346.1166667
1985	11	5.642124447	-5.909103994	113.8953234	44.891178	346.1166667
1985	12	3.878777743	-10.80370144	131.515279	9.2721577	346.1166667
1986	1	7.678056113	-8.254195716	136.6872468	3.8396122	347.4208333
1986	2	4.733930971	-7.377812242	151.4980442	49.4400124	347.4208333
1986	3	9.571204599	-5.22463919	210.7967055	35.9436093	347.4208333
1986	4	11.44558852	-2.93687048	223.7798156	63.8448957	347.4208333
1986	5	16.02562342	-0.042234493	223.9438632	56.2834225	347.4208333
1986	6	20.00414537	4.5949916	201.977594	140.7018633	347.4208333
1986	7	22.13363713	6.724423784	203.341794	75.0784469	347.4208333
1986	8	23.20962261	6.334753635	189.7045434	96.4392539	347.4208333
1986	9	16.86446634	2.550081225	173.4520179	56.07914991	347.4208333
1986	10	11.48874449	-2.081350246	161.4952019	67.4734884	347.4208333
1986	11	5.87597022	-5.658197795	117.22856	63.2356529	347.4208333
1986	12	2.695232981	-10.3521082	118.7492718	24.8993203	347.4208333
1987	1	1.563001442	-12.03827554	132.674309	57.7849043	349.1941667
1987	2	2.151729406	-9.961262729	151.9094221	90.9726037	349.1941667
1987	3	4.969962818	-8.948877048	222.522857	27.9071416	349.1941667
1987	4	12.30003708	-3.78392406	280.0183697	41.584866	349.1941667
1987	5	14.24480618	0.169177422	241.1987766	56.954177	349.1941667
1987	6	21.51921677	4.0669149	259.2089967	19.192461	349.1941667
1987	7	23.71369039	6.495167729	226.3323445	19.314531	349.1941667
1987	8	20.7771231	6.211183739	187.8812736	101.8173522	349.1941667
1987	9	18.056245	2.242355688	199.2132741	7.1274325	349.1941667
1987	10	15.39474535	-0.389503317	156.7484649	17.9310604	349.1941667
1987	11	6.061871825	-6.58991243	120.2438036	73.04411712	349.1941667
1987	12	0.403084134	-11.87842444	116.9707957	26.1599237	349.1941667
1988	1	-0.215328025	-14.8250326	133.5049876	38.8948707	351.5675
1988	2	4.33539917	-10.72158038	174.9350089	10.2060885	351.5675
1988	3	6.550958361	-8.940476374	217.3636592	9.02348	351.5675
1988	4	11.34982792	-3.322520803	226.0448118	48.4244491	351.5675
1988	5	16.24276931	-0.189663159	238.0989111	32.8944402	351.5675
1988	6	20.81770263	4.691966919	208.7121827	61.0933757	351.5675
1988	7	22.53067106	6.2960591	210.6763673	69.5918793	351.5675
1988	8	20.38667919	6.664437361	175.9799469	177.3036848	351.5675
1988	9	17.2638583	3.385572835	182.2679856	70.3881194	351.5675
1988	10	14.89140587	0.071460193	158.4936547	14.413551	351.5675
1988	11	5.896095837	-6.615575447	121.5727368	25.7564134	351.5675
1988	12	1.746998525	-12.74838276	129.4728862	7.8415191	351.5675
1989	1	2.095859682	-11.36962723	135.3335147	29.8364523	353.1208333
1989	2	4.221718659	-8.176321718	169.1050604	61.762385	353.1208333
1989	3	11.40047837	-3.801299467	217.8258664	26.2686889	353.1208333
1989	4	16.56460905	0.092327455	241.1813045	1.0001067	353.1208333
1989	5	20.69940808	2.131993645	240.8755445	9.20007763	353.1208333
1989	6	22.77303305	4.21492861	230.7961703	9	353.1208333
1989	7	23.74662526	7.132944716	199.0806515	121.1791716	353.1208333
1989	8	21.17031361	6.339811374	203.6237901	63.2786153	353.1208333
1989	9	19.47102577	4.16149524	187.3559225	51.1348487	353.1208333
1989	10	12.68325194	-1.459131118	152.2436733	54.19101	353.1208333
1989	11	8.032092465	-6.036817507	127.6779534	5.12e-06	353.1208333
1989	12	2.173508959	-10.80961123	123.3969136	15.9779481	353.1208333
1990	1	1.046741447	-12.11459706	139.7866173	24.8799226	354.3941667
1990	2	2.688221319	-10.55028296	169.1899648	36.3557802	354.3941667
1990	3	7.335439951	-5.7005204	215.5727433	38.37484169	354.3941667
1990	4	11.28496184	-1.73382322	230.1922818	54.4745161	354.3941667
1990	5	15.25883318	0.066622864	252.0169335	26.7903664	354.3941667
1990	6	24.84850563	6.785811283	232.5897839	26.4481362	354.3941667
1990	7	21.65270455	7.527518181	181.3344751	111.0857275	354.3941667
1990	8	21.10209319	6.586847587	195.4413285	77.6696157	354.3941667
1990	9	19.23526207	5.473065423	170.7691659	116.4022152	354.3941667
1990	10	13.68318183	-1.02816013	165.1083171	15.4231058	354.3941667
1990	11	6.716584895	-5.674725116	125.4315593	62.9209689	354.3941667
1990	12	-0.424316919	-13.02236363	118.1132798	66.3018761	354.3941667
1991	1	0.084100364	-12.5701298	141.3966641	13.87727731	355.6075
1991	2	5.776127195	-8.154422139	174.5806495	7.5865197	355.6075
1991	3	4.88318132	-7.707046526	199.009591	59.1661523	355.6075
1991	4	11.11907023	-4.059130397	262.4955162	0	355.6075
1991	5	16.92259894	0.457960873	252.8144009	75.4752923	355.6075
1991	6	20.6531989	4.693312316	213.3485996	65.0099626	355.6075
1991	7	21.94908784	7.329567368	201.8109906	109.5764584	355.6075
1991	8	20.73482784	7.489316584	191.8471549	118.0945792	355.6075
1991	9	17.3677757	3.929699117	178.4432967	94.386949	355.6075
1991	10	14.41199859	-0.355596197	158.3484429	8.33813535	355.6075
1991	11	3.97228745	-7.422350631	124.1221512	94.8056887	355.6075
1991	12	1.106810868	-10.01915506	124.5300979	61.8712135	355.6075
1992	1	1.180799894	-12.13169162	143.5352423	13.95739004	356.4458333
1992	2	2.726009734	-8.675547979	164.0568378	25.9187526	356.4458333
1992	3	6.80975082	-5.602793519	205.7477291	57.41794345	356.4458333
1992	4	13.34601574	-1.661377038	261.2255468	21.031705	356.4458333
1992	5	15.56576089	2.177841306	202.4143084	101.3183864	356.4458333
1992	6	19.94887947	4.456064089	235.850574	19.9916857	356.4458333
1992	7	21.931506	7.056746174	203.503691	61.1830811	356.4458333
1992	8	21.06360568	6.293606223	192.830667	136.9862587	356.4458333
1992	9	19.11595103	3.854919228	188.3055162	34.4215262	356.4458333
1992	10	14.74936645	0.638388578	150.9926278	7.8282471	356.4458333
1992	11	2.184252114	-9.426839003	133.6864181	56.41751	356.4458333
1992	12	-0.900389675	-12.51739291	120.338907	58.769394	356.4458333
1993	1	0.907080157	-9.336685771	126.989462	85.2483321	357.1
1993	2	1.213947569	-8.583449979	149.1500816	72.5269064	357.1
1993	3	7.369560633	-6.453946248	227.0929465	34.3440824	357.1
1993	4	11.23395618	-3.554347965	259.2249431	2.8790014	357.1
1993	5	15.71204787	0.622293874	243.0292699	36.9855443	357.1
1993	6	21.9314877	4.688699406	246.4775729	2.978129	357.1
1993	7	24.84987245	8.289154681	220.8653956	23.9997687	357.1
1993	8	20.62387861	7.927212103	171.1677857	137.7565695	357.1
1993	9	18.73156217	3.321553371	204.2036246	37.207021	357.1
1993	10	12.18327486	-2.108530243	151.194374	24.5562453	357.1
1993	11	4.364152395	-8.182471243	135.9624597	41.175334	357.1
1993	12	2.193650366	-10.72188505	128.4166093	6.51656	357.1
1994	1	2.514619049	-10.85198089	132.7524905	17.91327874	358.8333333
1994	2	2.699427056	-10.89051974	164.8897738	31.2801162	358.8333333
1994	3	8.308463765	-5.293161432	199.6183723	62.5684378	358.8333333
1994	4	10.98533779	-2.722054645	226.6141761	59.30810306	358.8333333
1994	5	16.74408648	1.964669883	227.2527274	64.7554319	358.8333333
1994	6	24.97434267	7.809523277	227.0071476	34.7911614	358.8333333
1994	7	24.99772839	8.43713391	209.7497202	51.4003592	358.8333333
1994	8	23.84926574	8.96801641	190.1554817	103.1294725	358.8333333
1994	9	19.3463384	4.78855929	183.2051102	56.2041103	358.8333333
1994	10	11.5593357	-1.571447927	151.4574392	89.6995699	358.8333333
1994	11	4.667755737	-7.816784553	125.3067207	62.2302325	358.8333333
1994	12	2.931218158	-8.521466074	113.3886993	20.4367186	358.8333333
1995	1	0.708350668	-10.00440937	131.2053393	50.2194564	360.82
1995	2	7.295322173	-5.519247546	173.6178491	27.3774992	360.82
1995	3	7.45508876	-5.63314107	206.9488737	43.1385181	360.82
1995	4	9.668004298	-4.252335595	233.2526724	64.094558	360.82
1995	5	13.86791566	-0.156891225	238.2798093	45.8762471	360.82
1995	6	18.99901893	2.655929772	236.1917694	29.7225433	360.82
1995	7	23.53378045	7.367316035	222.2192031	26.44550616	360.82
1995	8	23.47550697	8.983993868	183.9413726	96.07338233	360.82
1995	9	18.65980173	4.647345655	181.6161771	64.4917	360.82
1995	10	15.10681287	-1.476538761	171.5991735	0	360.82
1995	11	9.08460579	-4.280666094	122.5990704	10.2722527	360.82
1995	12	2.982112245	-8.576808116	107.845593	27.1376266	360.82
1996	1	2.027255087	-10.7172531	136.2812809	43.9416163	362.6066667
1996	2	6.568539627	-6.22192395	169.7570192	19.2828112	362.6066667
1996	3	7.475074039	-7.493040345	226.6209523	23.06073	362.6066667
1996	4	12.8536589	-3.097895782	253.4367755	4.676952	362.6066667
1996	5	21.52624239	3.434542742	249.0850575	0	362.6066667
1996	6	23.99445007	6.804282483	219.8063031	64.7380638	362.6066667
1996	7	23.70483835	9.02149129	190.1330056	132.7107444	362.6066667
1996	8	22.46340884	8.26795331	193.225194	78.1847956	362.6066667
1996	9	17.39947847	3.467450848	185.7143918	30.106389	362.6066667
1996	10	12.39356441	-1.374236948	154.4427588	87.079687	362.6066667
1996	11	7.000983403	-5.32816582	138.4197594	40.6916993	362.6066667
1996	12	1.569050754	-10.13354341	124.7811734	11.60596964	362.6066667
1997	1	0.43311255	-10.64143871	134.0436488	60.0303778	363.7291667
1997	2	2.703482651	-9.607038564	172.3912173	50.7788169	363.7291667
1997	3	10.97730458	-5.679616265	248.5570166	0	363.7291667
1997	4	9.339089757	-4.36718125	242.7527433	37.8863617	363.7291667
1997	5	16.42182685	1.775849206	248.024576	35.1964545	363.7291667
1997	6	21.56387967	5.442643063	234.9892389	44.4731713	363.7291667
1997	7	23.70159503	8.049767861	202.8567837	58.1627086	363.7291667
1997	8	22.26504461	8.44520051	186.8594049	108.5280445	363.7291667
1997	9	19.9744331	6.457491213	175.6439455	66.3387575	363.7291667
1997	10	13.16751005	-1.49093844	165.6792283	7.87644182	363.7291667
1997	11	5.311104414	-6.640276777	123.8023276	43.778637	363.7291667
