Year	Month	TMax	TMin	PAR	Prec	CO2
1540-1979	1	0.790519783	-11.06137813	134.7726493	36.63923144	338.7516667
1540-1979	2	1.877931515	-9.95729751	168.1107138	38.13314906	338.7516667
1540-1979	3	5.234588682	-6.977699863	215.0319359	43.0863115	338.7516667
1540-1979	4	9.198414601	-3.962150214	251.8561254	39.53682811	338.7516667
1540-1979	5	14.16841083	0.033308164	255.376981	37.34836472	338.7516667
1540-1979	6	20.11454886	4.34346175	244.7710633	37.1710339	338.7516667
1540-1979	7	21.13541576	6.676990326	206.10962	88.2061223	338.7516667
1540-1979	8	19.54199426	6.324158143	192.6212266	111.2964377	338.7516667
1540-1979	9	16.51997624	3.516678935	182.9302499	63.353858	338.7516667
1540-1979	10	10.91282227	-1.343106384	152.3880657	50.82792375	338.7516667
1540-1979	11	4.704957169	-6.336659257	127.4186681	36.42316872	338.7516667
1540-1979	12	0.528534266	-10.50823962	119.4351571	38.38089469	338.7516667
1980	1	0.976453718	-10.20497878	122.7021035	50.840982	338.7516667
1980	2	2.365737352	-11.07911106	167.9320467	41.890444	338.7516667
1980	3	1.762388821	-11.02017074	216.855315	27.009181	338.7516667
1980	4	6.365791194	-7.476722842	257.2282875	52.1361951	338.7516667
1980	5	10.8660047	-3.45211577	279.5048948	33.997014	338.7516667
1980	6	21.70216677	3.866734823	277.2232112	0	338.7516667
1980	7	24.39269823	4.673184042	238.4947421	8.9878328	338.7516667
1980	8	20.66225826	4.083300894	212.6938713	35.61541385	338.7516667
1980	9	17.69381323	2.493394777	191.1386439	30.320818	338.7516667
1980	10	12.00655037	-4.818836022	168.6228056	40.687574	338.7516667
1980	11	6.387033663	-7.956690764	140.3443464	31.833378	338.7516667
1980	12	6.982845508	-7.050967197	129.3503496	3.997014	338.7516667
1981	1	4.397308843	-9.677312339	122.4136158	0	340.1058333
1981	2	5.172431731	-10.13465692	152.9053521	7.0240946	340.1058333
1981	3	2.42759505	-8.881342255	188.0680052	122.528253	340.1058333
1981	4	11.93102793	-4.004933277	260.829542	9	340.1058333
1981	5	12.46850558	-2.181977988	229.9004743	30.73438	340.1058333
1981	6	21.2545432	3.000252947	243.719933	24.3883589	340.1058333
1981	7	21.1256401	4.955837671	220.7962844	34.0043708	340.1058333
1981	8	18.62604458	4.350348472	192.6136987	86.3699622	340.1058333
1981	9	15.9634857	2.959775145	177.9558609	55.1466407	340.1058333
1981	10	10.03442907	-2.691315404	155.1246451	45.7987374	340.1058333
1981	11	7.044060192	-4.333645516	115.698256	20.45588	340.1058333
1981	12	2.58152494	-9.338903679	108.9426921	3.0166073	340.1058333
1982	1	-1.18718081	-14.22418411	131.980213	60.94202917	341.4475
1982	2	0.403229711	-13.91292296	171.8580402	90.7009685	341.4475
1982	3	2.764421412	-7.887895175	197.4020873	49.5085713	341.4475
1982	4	7.93043137	-3.870259869	261.9324249	8.980274	341.4475
1982	5	11.96900774	-2.67242298	277.5232306	62.5025715	341.4475
1982	6	18.83567457	1.041291175	281.3166005	14.4466973	341.4475
1982	7	21.85354977	4.59821821	206.2992725	150.7166999	341.4475
1982	8	19.17367077	5.197099439	187.0867259	147.9898443	341.4475
1982	9	14.93133639	2.106915976	171.8987289	74.2346982	341.4475
1982	10	9.671846543	-3.897650685	162.7870407	19.876691	341.4475
1982	11	2.562217747	-6.278628009	95.14498074	58.3864982	341.4475
1982	12	-0.337578444	-13.69640806	125.5639898	61.39429525	341.4475
1983	1	2.633348724	-12.61701021	131.9926185	40.9611278	343.0541667
1983	2	0.991034764	-11.93514951	172.9097045	25.8652704	343.0541667
1983	3	2.179483594	-8.670769135	193.1906806	78.17232683	343.0541667
1983	4	4.365920055	-9.278107743	277.9227815	18.8277157	343.0541667
1983	5	12.08132928	-3.761213696	290.7392118	32.4163165	343.0541667
1983	6	18.15148548	0.80185403	280.5442217	24.1384365	343.0541667
1983	7	21.09564516	3.714891565	237.1385693	59.0373	343.0541667
1983	8	20.36609323	5.439332445	194.6206126	105.1199248	343.0541667
1983	9	18.62662833	3.032763386	182.8863591	58.6725434	343.0541667
1983	10	11.89538525	-2.669457456	154.6574644	57.8135057	343.0541667
1983	11	3.578679804	-8.257691289	113.5604946	44.38349097	343.0541667
1983	12	-0.693551182	-10.85570582	106.1013714	66.77489971	343.0541667
1984	1	1.534970139	-16.06551455	153.3448819	14.047683	344.65
1984	2	1.630054555	-13.52337132	172.0888525	6.8636475	344.65
1984	3	3.93234943	-9.125130013	211.719806	66.293035	344.65
1984	4	7.205231317	-7.532425353	279.3116447	12.43119383	344.65
1984	5	16.96527211	-0.177831709	308.1856838	6.0162063	344.65
1984	6	18.63274323	1.445688432	266.1620159	39.85644101	344.65
1984	7	21.40096381	4.850822648	231.0627392	64.9200648	344.65
1984	8	19.13248332	4.372224387	189.043004	148.1642262	344.65
1984	9	17.496268	1.834766005	191.5314789	11.88359755	344.65
1984	10	6.009367091	-5.166894445	136.9676434	141.2118954	344.65
1984	11	5.449004018	-6.97106802	148.2584096	20.7268938	344.65
1984	12	2.173627819	-9.740846042	119.4099919	115.9586015	344.65
1985	1	-0.07082335	-15.1141015	127.5193751	35.6983399	346.1166667
1985	2	0.385178208	-14.42863119	168.0621745	29.2171836	346.1166667
1985	3	3.768932155	-7.856051157	184.528002	121.0241543	346.1166667
1985	4	10.34415283	-4.261312646	252.2248658	110.275262	346.1166667
1985	5	13.31113376	-0.812570949	249.6049389	47.20453602	346.1166667
1985	6	20.04795653	2.176671511	242.0927996	60.808861	346.1166667
1985	7	20.89302306	4.06084562	201.2639757	50.971788	346.1166667
1985	8	20.74629987	4.458599145	210.120157	60.91105	346.1166667
1985	9	14.76181811	0.296185107	173.6381774	83.9292538	346.1166667
1985	10	10.35593303	-2.626749326	143.4123033	93.8681482	346.1166667
1985	11	3.30068279	-7.0328684	109.9014181	57.377244	346.1166667
1985	12	2.267982623	-11.80489002	133.585587	11.980274	346.1166667
1986	1	6.304222439	-8.825323697	135.6618464	0.0526793	347.4208333
1986	2	2.702638789	-8.378755589	150.7173224	58.2582001	347.4208333
1986	3	7.140482776	-6.477383023	214.092523	34.265094	347.4208333
1986	4	8.988374847	-4.773305591	240.4692033	78.269532	347.4208333
1986	5	13.33886381	-1.671887922	248.9603174	61.8949659	347.4208333
1986	6	17.28678738	2.498609097	208.4927924	197.2612878	347.4208333
1986	7	19.62640768	4.669097794	210.1140642	75.6633505	347.4208333
1986	8	20.68989029	3.939160352	190.4454469	131.1032225	347.4208333
1986	9	14.29008359	1.006860129	169.864931	65.0927735	347.4208333
1986	10	9.089481655	-3.184933937	164.2518923	75.0482423	347.4208333
1986	11	4.058011065	-6.403008196	117.7266237	68.9456344	347.4208333
1986	12	1.071476386	-11.50047445	117.6212281	28.8518108	347.4208333
1987	1	0.198329521	-12.54592969	132.811934	66.9719761	349.1941667
