Year	Month	TMax	TMin	PAR	Prec	CO2
1540-1979	1	2.2562727	-10.37497085	132.9377124	31.14954029	338.7516667
1540-1979	2	3.709450703	-9.004093106	165.8202381	32.20480556	338.7516667
1540-1979	3	7.356054229	-5.971960631	210.7266697	36.52125965	338.7516667
1540-1979	4	11.40030887	-2.854888992	240.0075965	34.81808278	338.7516667
1540-1979	5	16.37271941	1.295156774	239.8336564	33.99455959	338.7516667
1540-1979	6	22.31750526	5.732824535	233.8404845	31.55744289	338.7516667
1540-1979	7	23.45669151	8.288859499	205.118244	75.27155232	338.7516667
1540-1979	8	21.87725629	7.845383243	192.8852508	96.25613657	338.7516667
1540-1979	9	18.78979142	4.714421833	182.7085096	56.49061296	338.7516667
1540-1979	10	13.04952095	-0.516106717	151.7150189	46.06172848	338.7516667
1540-1979	11	6.591555793	-5.677917993	125.2541346	32.41848399	338.7516667
1540-1979	12	2.060015596	-9.848849829	117.4612733	33.13886899	338.7516667
1980	1	2.495438213	-8.956064094	122.244662	45.3803318	338.7516667
1980	2	4.316139132	-9.544927914	162.0622985	38.8751505	338.7516667
1980	3	4.134271882	-9.332100061	207.3376942	25.5807068	338.7516667
1980	4	8.823523947	-5.972289842	245.0871152	49.4679682	338.7516667
1980	5	13.32106037	-1.587885129	253.0421575	33.3487602	338.7516667
1980	6	23.8865134	5.223801271	250.4628689	0	338.7516667
1980	7	26.57205342	6.874544216	235.0747202	8.8758592	338.7516667
1980	8	22.98177097	6.111783645	210.3213025	38.3112361	338.7516667
1980	9	19.919337	4.012565592	191.379534	25.5795225	338.7516667
1980	10	13.87729974	-3.368176464	160.6016937	35.451061	338.7516667
1980	11	8.089180649	-7.071853421	134.2023689	26.7997545	338.7516667
1980	12	8.20684959	-6.535807145	127.05057	1.5351763	338.7516667
1981	1	5.892146179	-9.110947861	122.0164278	0	340.1058333
1981	2	6.890228686	-9.326777754	153.3526695	5.644678	340.1058333
1981	3	4.586740952	-7.427712776	186.1214419	99.57654	340.1058333
1981	4	14.0968191	-2.464957831	251.495777	8.3310933	340.1058333
1981	5	14.80570215	-0.325509295	217.2721863	24.7890008	340.1058333
1981	6	23.5456837	4.976770063	242.2559058	21.1417868	340.1058333
1981	7	23.43800752	7.128984177	219.6485392	31.93011645	340.1058333
1981	8	21.07524465	6.233870032	194.6944653	74.44332441	340.1058333
1981	9	18.2897406	4.39242777	178.6455354	51.5765095	340.1058333
1981	10	12.12555222	-1.401433734	153.4098146	39.5989441	340.1058333
1981	11	9.091814895	-4.07240775	119.152364	17.66823736	340.1058333
1981	12	4.410221432	-8.756100303	109.0272391	2.2536786	340.1058333
1982	1	0.609681581	-12.87296913	129.8650896	49.7039789	341.4475
1982	2	2.206836139	-12.49277031	168.6019802	68.66863941	341.4475
1982	3	5.115827209	-6.615335969	195.8377661	45.7137583	341.4475
1982	4	10.3352923	-2.862158994	253.3851252	7.461868	341.4475
1982	5	14.32893637	-1.000599539	255.881612	53.53352379	341.4475
1982	6	21.08761453	2.972359571	249.8565737	11.9971952	341.4475
1982	7	23.96971577	6.726789174	203.850307	132.1749567	341.4475
1982	8	21.52686281	7.1803047	188.5272092	108.0045099	341.4475
1982	9	17.2255856	3.84222283	171.9342666	70.4497483	341.4475
1982	10	11.80419782	-2.929749434	161.8901238	16.7930182	341.4475
1982	11	4.550696152	-5.52165955	98.96107949	51.3253379	341.4475
1982	12	0.982514645	-12.06219211	122.9768136	50.58788776	341.4475
1983	1	3.659500647	-11.37218551	130.4404405	36.3368226	343.0541667
1983	2	2.771227718	-10.33049598	171.2423997	23.0484636	343.0541667
1983	3	4.415744662	-7.091717781	190.1663344	64.8584506	343.0541667
1983	4	6.818381322	-7.413578423	267.4674684	15.9183342	343.0541667
1983	5	14.34406202	-2.150347964	275.5900517	27.5275559	343.0541667
1983	6	20.32347017	2.558801527	255.4885752	17.4444275	343.0541667
1983	7	23.414298	5.845301726	222.3617457	50.5529787	343.0541667
1983	8	22.61347345	7.310394716	195.8124098	88.86758236	343.0541667
1983	9	20.88820497	4.456576497	183.2941964	50.3462057	343.0541667
1983	10	13.86517615	-1.385412253	153.5228537	49.2973303	343.0541667
1983	11	5.762942785	-7.24709469	116.1260186	36.8308184	343.0541667
1983	12	0.919793548	-10.08303123	107.5331961	56.28985447	343.0541667
1984	1	2.483937255	-14.80604018	144.4835111	14.0052018	344.65
1984	2	3.470157929	-12.07968621	167.9063971	5.2441222	344.65
1984	3	6.023691924	-8.015413804	206.0366298	56.437238	344.65
1984	4	9.360857753	-6.037781537	265.4544761	7.2422677	344.65
1984	5	19.05860694	1.315720326	284.2037594	5.4669347	344.65
1984	6	20.79641435	3.326436905	241.2249039	24.27457335	344.65
1984	7	23.74648706	6.791721748	225.1583801	43.83918883	344.65
1984	8	21.53595723	6.276261903	189.0102983	130.945488	344.65
1984	9	19.7155904	3.535138795	190.5002952	11.13429814	344.65
1984	10	8.077900151	-3.618689987	135.9741384	125.1174351	344.65
1984	11	7.14814756	-6.218681087	143.870303	16.4993765	344.65
1984	12	3.075311004	-9.022099784	113.83986	98.14272506	344.65
1985	1	1.029054154	-13.49260164	127.2218861	29.7505958	346.1166667
1985	2	2.012771482	-12.92421124	167.9838274	27.1397721	346.1166667
1985	3	5.82891639	-6.435052206	185.0538464	101.5628642	346.1166667
1985	4	12.40214401	-2.966792901	240.0774002	99.9524695	346.1166667
1985	5	15.537849	0.694850656	225.2277334	43.81520375	346.1166667
1985	6	22.14300937	4.000868173	227.5516773	55.8312244	346.1166667
1985	7	23.13215197	6.242296935	200.0121255	48.5501122	346.1166667
1985	8	22.93730235	6.2587637	209.1415186	59.7815433	346.1166667
1985	9	17.0152957	1.843763952	174.3251277	77.4394033	346.1166667
1985	10	12.44979169	-1.414655944	143.1980942	92.3201641	346.1166667
1985	11	5.411019734	-5.980351034	112.3278273	47.8361073	346.1166667
1985	12	3.782415294	-10.80180605	129.6789603	10.461867	346.1166667
1986	1	7.614976989	-8.213163758	135.1115662	0.14209019	347.4208333
1986	2	4.539849304	-7.477835581	151.2096808	49.14436843	347.4208333
1986	3	9.288489919	-5.344836174	210.8892554	27.6719917	347.4208333
1986	4	11.15241679	-3.138201961	224.0742089	67.370553	347.4208333
1986	5	15.63125648	-0.161595901	225.766149	59.5832774	347.4208333
1986	6	19.59025437	4.333120639	200.9443088	165.584823	347.4208333
1986	7	21.83106539	6.496488435	207.1791727	71.95483207	347.4208333
1986	8	22.90944787	6.003754977	192.1520793	94.84757432	347.4208333
1986	9	16.53061828	2.436590037	171.21498	61.8515335	347.4208333
1986	10	11.13218857	-2.178892606	159.9884167	68.6953045	347.4208333
1986	11	5.663070233	-5.699822009	115.9473564	66.7048523	347.4208333
1986	12	2.501227075	-10.38938657	116.3579672	25.1979329	347.4208333
1987	1	1.455010821	-11.94492461	131.6542053	54.3155188	349.1941667
1987	2	1.877038081	-10.08227872	152.3588659	97.2006607	349.1941667
1987	3	4.655564443	-9.077670687	224.8737053	25.28773179	349.1941667
1987	4	11.89753092	-3.893353318	283.4261273	45.702663	349.1941667
1987	5	13.79761329	-0.088696152	247.2434045	55.5241968	349.1941667
1987	6	21.0219734	3.85069264	267.9839372	22.5327285	349.1941667
1987	7	23.23974039	6.383685658	230.6795628	5	349.1941667
1987	8	20.27045123	5.950350358	188.3473136	108.4919633	349.1941667
1987	9	17.54086573	2.037957987	195.4322534	19.1832734	349.1941667
1987	10	14.965988	-0.415832047	155.2315904	17.016378	349.1941667
1987	11	5.756050022	-6.699113507	121.2512657	63.5940103	349.1941667
1987	12	0.170123968	-12.00523583	116.1270163	27.99794592	349.1941667
1988	1	-0.342311306	-14.93128886	131.7028091	38.2816613	351.5675
1988	2	4.094437636	-10.82685273	173.0606176	10.1406308	351.5675
1988	3	6.113751284	-9.145649297	216.3645089	9.890396428	351.5675
1988	4	10.89107844	-3.51972607	229.2893454	43.9596557	351.5675
1988	5	15.73950952	-0.45298436	241.4485128	32.1028026	351.5675
1988	6	20.22792583	4.416425571	209.3651742	62.1312338	351.5675
1988	7	21.88481794	5.904468823	212.7848805	63.5024855	351.5675
1988	8	19.80075729	6.24057441	179.0516048	165.373421	351.5675
1988	9	16.74118748	3.172692482	181.214414	74.7798813	351.5675
1988	10	14.38854644	-0.067108422	156.8114136	13.7414723	351.5675
1988	11	5.50171057	-6.631942352	119.590199	26.8426928	351.5675
1988	12	1.447036525	-12.85401545	127.370953	10.5450934	351.5675
1989	1	1.96165007	-11.10247726	135.1470176	21.01063	353.1208333
1989	2	4.063955337	-8.132475489	168.1620134	65.6958862	353.1208333
1989	3	11.17047185	-3.719922074	216.6587745	27.395747	353.1208333
1989	4	16.41290843	0.164682992	241.0796414	0.8796646	353.1208333
1989	5	20.63995431	2.07160567	239.9772088	18.3223648	353.1208333
1989	6	22.47784667	3.888038612	233.231508	7.0279136	353.1208333
1989	7	23.25880039	6.699293284	198.8561996	133.1357415	353.1208333
1989	8	20.72202261	5.980337916	203.8844951	78.0257894	353.1208333
1989	9	19.04134538	4.057733596	186.0248391	54.666921	353.1208333
1989	10	12.20652361	-1.540479889	150.6251633	55.496561	353.1208333
